date,AFMA,ATLANTASANAD,Addoha,Afric Indus,Afriquia Gaz,Agma,Akdital,Alliances,Aluminium Maroc,Aradei Capital,Attijariwafa,Auto Hall,Auto Nejma,BALIMA,BCP,BMCI,BOA,CDM,CIH,CMT,COSUMAR,CTM,Cartier Saada,Ciments Maroc,Colorado,DISWAY,Dari Couspate,Delta Holding,Disty Technolog,EQDOM,Ennakl,FENIE BROSSETTE,HPS,IBMaroc,INVOLYS,Immr Invest,Jet Contractors,LABEL VIE,LafargeHolcim,Lesieur Cristal,M2M Group,Maghreb Oxygene,Maghrebail,Managem,Maroc Leasing,Maroc Telecom,Microdata,Mutandis,Oulmes,PROMOPHARM,Rebab Company,Res.Dar Saada,Risma,S2M,SALAFIN,SMI,SNEP,SODEP,SOTHEMA,SRM,STROC Indus,Sanlam Maroc,Sonasid,Ste Boissons,Stokvis Nord Afr,TAQA Morocco,TGCC,Timar,Total Maroc,Unimer,Wafa Assur,Zellidja
2022-01-04,0.0,-0.00708333333333333,0.011288805268109048,-0.002915451895043719,,,,0.018904109589040985,,0.02928039702233254,0.00020811654526542434,,,,0.0,0.0,,0.0,,0.0,0.0007683442182098155,,0.0,0.001616379310344751,0.0,-0.019577464788732346,,,,,0.0,0.05718175629680067,0.0,0.0,,-0.009615384615384581,-0.004347826086956497,0.0,,,0.0,0.0,,0.012499999999999956,,-0.00394831299353926,0.0,0.0,0.0,,,-0.008187967248130978,,,0.0044709388971684305,,-0.013025379347388233,0.0,0.0060810810810811855,,0.0050890585241731845,,-0.015970317793192468,,0.054268292682926766,0.0,0.00029394473838917357,,,,,0.0
2022-01-05,0.0,0.0012589173310952884,-0.0046511627906977715,0.0029239766081872176,0.0,,,0.024468943264318366,0.0,-0.027844744455159165,0.003121098626716501,0.004761904761904745,,,0.0,0.006339144215530945,0.005376344086021501,0.008333333333333304,,0.0,0.017274472168905985,0.0,0.016393442622950838,0.0,0.0,0.0,,,,,0.0,0.017385705086928382,0.0,0.0,,0.0,0.004366812227074135,-0.010101010101010055,,,-0.01692307692307693,0.0,,-0.004938271604938316,,-0.00540540540540535,0.0,0.0,0.017110266159695797,,,0.027279253409906667,,,0.0,,0.011564625850340127,0.0035460992907800915,0.0,0.0,0.05012658227848088,,-0.003278688524590123,,0.010989010989011172,0.04463437796771119,-0.009697325888921582,,0.006395348837209269,,0.0,0.0
2022-01-06,0.0,0.005867560771165126,0.024299065420560817,0.0,0.0,,,-0.002624671916010568,0.0,0.0018598884066955979,0.008089607965152457,-0.004739336492891044,,,0.010611510791366907,0.022047244094488105,0.0,0.0049586776859504855,0.017964071856287456,0.011627906976744207,0.003584905660377391,0.002844950213371167,0.0,0.022054868208714273,0.0,0.019968395345496326,,,,,0.03768115942028971,-0.00031645569620264435,0.0,0.0,0.0,-0.008737864077669966,0.02152173913043476,0.010204081632652962,0.008711600183402002,0.0,0.0,0.03201024327784885,,0.00496277915632759,,0.0036231884057971175,-0.007462686567164201,0.0,0.0,,,0.005939902166317124,,,0.0014836795252226587,0.0,-0.00470746469401484,0.002473498233215521,0.000671591672263272,0.0,-0.03567984570877525,0.0,0.004934210526315708,0.0,0.006864988558352492,0.0,-0.0029673590504450953,,0.0017331022530329143,,0.0,0.0
2022-01-07,0.00588235294117645,0.04166666666666674,0.009124087591240837,0.005830903790087438,0.0,0.0019819423034574957,,0.010526315789473717,0.016522988505747183,-0.001980198019801982,0.008230452674897082,0.03809523809523818,,,0.010856024203594883,0.013867488443759735,0.00989304812834213,0.02796052631578938,0.026323529411764746,0.01724137931034475,0.01146832111299112,-0.0028368794326241176,-0.031935483870967674,0.004210526315789442,0.0001472754050071412,0.014084507042253502,,-0.0027700831024931594,,0.039364118092354294,0.0,-0.03165558721114281,-0.004424778761061954,-0.013246823465801638,-0.0024038461538461453,0.008814887365328206,0.004469035965098955,0.0,0.013636363636363669,0.0,0.0,0.0,,-0.0037037037037036535,,0.005054151624548586,0.007518796992481258,0.0,0.0,,,0.03091351163598466,,0.0,0.0,0.030927835051546282,0.006756756756756799,0.004582305252026853,0.0,0.0,0.033500000000000085,0.010101010101010166,0.04582651391162029,0.0,0.021022727272727026,0.036363636363636376,0.01130952380952377,0.02248005801305286,0.0005767012687427631,0.0,-0.010302775441547563,0.0
2022-01-10,-0.00511695906432752,0.059599999999999875,-0.00452079566003627,0.0,0.03823246878001929,0.0,,0.015364583333333348,0.007067137809187329,0.0044642857142858094,0.0020408163265306367,0.014220183486238547,0.0,0.0,0.0,-0.027355623100303927,-0.004500926661371474,0.0,0.0001432870038686751,0.0,0.0,0.05248933143669987,0.016327890703098813,0.0,0.0,0.012638888888888866,,-0.012345679012345623,,0.03932993445010924,-0.011173184357541888,0.006211180124223725,0.0,-0.04109589041095896,0.0,-0.009708737864077666,-0.016949152542372836,0.0,0.0,0.0,-0.007511737089201831,0.0,,0.0037174721189590088,,-0.001436781609195359,-0.010447761194029903,0.0,0.0,,,0.0003369272237196963,-0.00911577028258892,0.0,0.03540740740740733,0.0033333333333334103,0.012080536912751683,-0.0052631578947368585,0.003355704697986628,0.027397260273972712,0.02660861151427185,0.0,-0.007824726134585291,0.0,-0.004451864218141255,-0.03245614035087718,0.0064743967039435635,0.0,0.008645533141210304,-0.0056022408963586345,0.0,0.03986486486486496
2022-01-12,-0.008082292432035287,0.0305775764439411,0.03542234332425065,0.0,0.0,0.0,,0.0002564760194920801,0.002105263157894832,0.024691358024691468,0.0,0.013116236996834063,0.0,0.0,0.007042253521126751,0.0,0.0,-0.030399999999999983,-0.00014326647564477657,0.0,0.0037174721189590088,-0.0025679145830517225,0.016393442622950838,0.0015723270440251014,0.0,-0.017967357015498564,,0.0,,-0.004905395935529078,0.029661016949152685,-0.01624431448992858,0.022222222222222143,0.05971428571428583,0.003212851405622441,-0.004901960784313708,0.034482758620689724,0.010101010101010166,0.0004484304932734773,0.0,0.04068117313150421,0.0,,0.016666666666666607,,0.0014388489208632116,-0.015082956259426794,0.003629032258064546,0.0,,,0.009767598518019449,0.0,0.0,-0.0341965946487337,-0.019933554817275767,-0.0053050397877983935,0.008818342151675429,0.0033444816053511683,-0.020000000000000018,0.017907634307257503,0.0,0.05993690851735023,0.0,0.01173840134153159,0.0009066183136898776,0.03508771929824572,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,-0.004761904761904856,0.015789473684210575,0.023768115942028878,-0.00980754996299038,-0.01098901098901095,,0.0,-0.0021008403361344463,0.011927710843373518,-0.0008146639511200648,0.017857142857142794,0.0,0.004424778761061843,0.0034965034965035446,0.015625,0.002393617021276606,0.03993399339934012,-0.002722453073506159,0.0,0.0035185185185184764,-0.015176151761517653,-0.016129032258064502,-0.0015698587127158659,0.0,0.02639664804469266,,-0.0031250000000000444,,0.0,0.0,-0.009247027741083214,0.0,-0.002426530062011434,0.02201761409127312,-0.0009852216748768017,0.05958333333333332,0.010000000000000009,0.028686687584043025,-0.030612244897959218,0.037878787878787845,0.0,,0.0,,-0.001436781609195359,0.003215926493108867,-0.0036159100040177306,0.0,,,-0.0010006671114076715,-0.015639374425023056,0.0,0.001481481481481417,0.03389830508474567,0.0305333333333333,0.013986013986013957,-0.0033333333333332993,0.0,-0.02314814814814814,-0.03933333333333333,0.011904761904761862,0.0,0.010497237569060625,0.032608695652173836,0.006214689265536588,0.0,0.011428571428571344,0.0,-0.02889313787975356,0.039896036387264466
2022-01-14,0.0,0.0011041589988958211,-0.005181347150259086,-0.009060022650056565,0.011025976452999409,0.0,,-0.002564102564102555,0.0,0.00011906179307064058,0.015083571137382679,-0.00877192982456143,-0.010819165378670781,0.0,0.010452961672473782,0.012153846153846182,0.05067657203502263,0.03935258648048223,0.005747126436781658,0.009604519774011333,0.0071968997970104365,-0.03549807374793612,0.0,0.02148846960167705,0.0020615520541893417,0.00013607293509321217,,0.012539184952978122,,0.03943661971830981,0.010973936899862702,-0.00666666666666671,0.014347826086956506,0.013513513513513598,0.0,0.030078895463510724,0.015336217066456825,0.046534653465346576,-0.002178649237472796,0.0,0.05985401459854023,0.0,,0.007285974499089187,,0.007194244604316502,0.02259197069149743,0.02016129032258074,0.0,0.0,,0.0063439065108514825,0.014018691588784993,0.0,0.0,-0.01967213114754096,0.015525941260188914,0.0034482758620688614,0.0033444816053511683,0.0,0.027962085308056883,0.0,0.013235294117647012,0.04232249038125224,0.03717878622197923,0.019298245614035148,0.01066816395283543,0.0,0.019774011299435124,0.0,0.0599431196674689,0.0
2022-01-17,0.0,-0.014705882352941124,-0.0008680555555555802,0.0,0.0,0.03977777777777769,,-0.013367609254498647,-0.00070175438596487,0.0050000000000001155,-0.0060240963855421326,-0.0008849557522123686,0.010937500000000044,0.013215859030837107,-0.003620689655172482,0.006231950144398812,-0.015151515151515138,0.0,-0.0014285714285714457,0.0016787912702853625,-0.0003664345914252687,0.02696148359486439,0.016393442622950838,0.0005130836326321386,-0.028508449669360725,0.006802721088435382,,-0.0003095975232197956,,0.016260162601626105,0.00407055630936215,-0.006711409395973145,0.00014287755393627144,0.02960000000000007,-0.0015667841754798406,0.023934897079942452,-0.027691711851277945,0.0,0.0,0.0,0.03994490358126712,0.0,0.0,0.0012055455093429313,,-0.0028571428571428914,0.006120316465143993,0.007905138339920903,0.0,0.0,,0.0009953550099535136,0.010138248847926246,0.0,0.059911242603550185,0.0033444816053511683,0.014141928908141255,0.0,0.0,0.0,-0.001152604887044828,0.006245662734212454,0.00870827285921627,0.0,0.011597258829731283,0.04561101549053359,0.0011111111111110628,0.0,-0.0027700831024930483,0.0,0.0,0.0
2022-01-18,0.0,0.01268656716417893,0.02867072111207647,-0.0007142857142856673,0.0,0.004915580252190743,,0.015633142261594513,0.002808988764045006,0.04240701255626633,0.0,0.008857395925597977,-0.03657908294693457,0.03913043478260869,0.00017304031839415757,0.0,-0.011538461538461497,0.0,0.01573676680972813,0.0,-0.013746334310850483,0.0,0.015806451612903283,-0.013846153846153841,0.029345031008924494,0.03378378378378377,,-0.008981108702384666,,0.0,0.027027027027026973,-0.027027027027026973,0.0,-0.031339031339031376,0.0,-0.0004675081813931836,0.015733917546305376,0.00302743614001888,0.0008733624454149158,0.00026315789473696505,0.0066225165562914245,0.0,0.0,0.023479831426851394,0.01298701298701288,-0.0007163323782234388,0.008902077151335286,0.0,0.0,0.0,,0.010938017898574737,-0.005474452554744436,0.0,-0.016050244242847178,-0.006000000000000005,0.007537688442211143,-0.0034364261168384758,0.028666666666666618,0.0,0.015231940918532194,0.0,0.03597122302158273,0.006711409395973256,-0.0015633142261595179,0.004115226337448652,0.00998890122086582,0.0,-0.011111111111111072,0.0,0.0,0.0
