date,ticker,score
2024-12-31,Addoha,0.44891215770052767
2024-12-31,STROC Indus,0.4334634449092029
2024-12-31,Maroc Telecom,0.4321221411339568
2024-12-31,M2M Group,0.41651596921581485
2024-12-31,Maghreb Oxygene,0.4099176507282222
2024-12-31,SOTHEMA,0.3982067931104896
2024-12-31,FENIE BROSSETTE,0.39447251153301566
2024-12-31,Auto Hall,0.3906210123400659
2024-12-31,SRM,0.3893542354098533
2024-12-31,Res.Dar Saada,0.38564278179543154
2024-12-31,INVOLYS,0.37799920375704993
2024-10-24,Stokvis Nord Afr,0.37761347480768187
2024-12-31,S2M,0.37474073173415184
2024-12-31,Zellidja,0.36818120672986077
2024-12-31,AFMA,0.3622640467352645
2024-12-31,Ste Boissons,0.3622385964465502
2024-12-31,COSUMAR,0.357811287317148
2024-12-31,SALAFIN,0.3575047018336711
2024-12-31,DISWAY,0.3568349144317922
2024-12-31,BCP,0.3559470539117729
2024-12-31,Oulmes,0.3529654050285821
2024-12-31,LABEL VIE,0.3501113551859877
2024-12-31,SMI,0.3492147705596317
2024-12-31,Total Maroc,0.3491838328546719
2024-12-31,Sanlam Maroc,0.34910308443735527
2024-12-31,TAQA Morocco,0.34530416272648
2024-12-31,Microdata,0.3429648625296294
2024-12-31,Afriquia Gaz,0.34102076576661927
2024-12-31,Immr Invest,0.33844977223264916
2024-12-31,IBMaroc,0.33720438211966425
2024-12-31,Risma,0.33660762497645147
2024-12-31,BOA,0.3361086994495578
2024-12-31,Afric Indus,0.3360831626395554
2024-12-31,Agma,0.33555559078861263
2024-12-31,Maroc Leasing,0.33440767393706533
2024-12-31,ATLANTASANAD,0.33377401785821714
2024-12-31,PROMOPHARM,0.3334556872503171
2024-12-31,SNEP,0.3327651665865885
2024-12-31,BMCI,0.3310016938971042
2024-12-31,Attijariwafa,0.3299408472947628
2024-12-31,Ennakl,0.3290599911703137
2024-12-31,CIH,0.3286818770602742
2024-12-31,CDM,0.32775539155759736
2024-12-31,Dari Couspate,0.32505325805113316
2024-12-31,Colorado,0.32472243741813817
2024-12-31,Cartier Saada,0.32382273267943523
2024-12-31,Rebab Company,0.32333459649170504
2024-12-31,Aradei Capital,0.3198790529120211
2024-12-31,CMT,0.3181909516113373
2024-12-31,Wafa Assur,0.3173105574533495
2024-12-31,Aluminium Maroc,0.3124585887300339
2024-12-31,Delta Holding,0.30870321286641367
2024-12-31,Maghrebail,0.3086511112225918
2024-12-31,LafargeHolcim,0.308643985481771
2024-07-26,Auto Nejma,0.30832653122256304
2024-12-25,EQDOM,0.3052882995788134
2024-12-31,Disty Technolog,0.30195189060042565
2024-12-31,Unimer,0.30151395928916785
2024-12-31,Mutandis,0.3006884566671847
2024-12-31,Ciments Maroc,0.29946124094467125
2024-12-31,BALIMA,0.2990105791247377
2024-12-31,Akdital,0.29874998674093306
2024-12-31,SODEP,0.29784584521257984
2024-12-31,TGCC,0.29407110953063537
2024-12-31,Lesieur Cristal,0.29098662582309975
2024-12-31,Sonasid,0.27752924655037137
2024-12-31,Managem,0.2760448517311744
2024-05-13,Timar,0.27441901987222084
2024-12-31,Alliances,0.27409196803663277
2024-12-31,CTM,0.2715423108483433
2024-12-31,Jet Contractors,0.26329183893027364
2023-10-06,HPS,0.2067968201294684
